titulo,titulo_en,categoria,masinfo,masinfo_en,buscador,buscador_en,fecha,url,imagen,colorTexto,colorFondo,colorfecha,premiado,donde-premiado,donde-premiado_en
Cómo las series han conquistado el mundo,How series took over the world,CULTURA,"series, televisión",TV series,"Formato,Narrativas","Format, Narratives",23 sept 2025,https://www.lasprovincias.es/pantallas/series/series-conquistado-mundo-20250923110910-ntrc.html,https://s3.ppllstatics.com/rc/www/multimedia/2025/09/23/fotolead-840-series.mp4,#f2f2f2,#202020,#f2f2f2,,,
María Pombo también está entre el 70% de españolas que no lee libros «y no pasa nada»,María Pombo is also among the 70% of Spanish women who don’t read books — and nothing happens,CULTURA,"Datajournalism,influencer, cultura","Datajournalism, influencer, culture","Datajournalism,Análisis","Datajournalism, Analysis",11 sept 2025,https://www.elcorreo.com/culturas/maria-pombo-espanolas-lee-libros-pasa-20250911134157-ntrc.html,https://s1.ppllstatics.com/rc/www/multimedia/2025/09/11/fotolead-1200x100.jpg,,,,,,
"El 'baby boom' del ciclismo: el pelotón rejuvenece, pero los campeones cumplen años","Cycling’s baby boom: the peloton gets younger, but the champions are getting older",DEPORTES,"Datajournalism,deporte,ciclismo,datos","Datajournalism, sports, cycling, data",Datajournalism,Datajournalism,22 ago 2005,https://www.burgosconecta.es/deportes/ciclismo/baby-boom-ciclismo-peloton-rejuvenece-campeones-cumplen-20250822110511-ntrc.html,https://s2.ppllstatics.com/rc/www/multimedia/2025/08/22/bci-foto-1200x840.jpg,,,,,,
Migrantes de segunda generación: tres de cada diez bebés son hijos de extranjeros,Second-generation migrants: three in ten babies born to foreign parents,SOCIEDAD,"Datajournalism,migración,datos","Datajournalism, migration, data","Datajournalism,Última hora","Datajournalism, Breaking News",19 jul 2025,https://www.burgosconecta.es/nacional/migrantes-segunda-generacion-tres-diez-bebes-hijos-20250719191617-ntrc.html,https://s2.ppllstatics.com/rc/www/multimedia/2025/07/19/fotolead-torrepacheco-1200x840.jpg,,,,,,
"La España vaciada se llena en verano: montañas abarrotadas, guiris en la playa y población saturada","Empty Spain fills up in summer: crowded mountains, tourists on the beach, and saturated towns",ECONOMÍA,"Datajournalism,Narrativas,mapas,turismo","Datajournalism,Narratives,maps,tourism","Grandes narrativas,Narrativas","Great narratives, Narratives",3 jul 2025,https://www.ideal.es/economia/espana-vaciada-llena-verano-montanas-abarrotadas-guiris-20250702072254-ntrc.html,https://s2.ppllstatics.com/rc/www/multimedia/2025/07/03/fotolead-cua222--562x562.jpg,,,,,,
El mapa de las adjudicaciones bajo sospecha del triángulo Koldo-Ábalos-Cerdán,The map of suspicious contracts in the Koldo-Ábalos-Cerdán triangle,POLÍTICA,"investigación periodística, política,mapas","journalistic investigation, politics, maps","Última hora,Narrativas","Breaking News, Narratives",14 jun 2025,https://www.elcorreo.com/politica/mapa-adjudicaciones-bajo-sospecha-triangulo-koldo-abalos-cerdan-20250614221009-ntrc.html,https://s3.ppllstatics.com/rc/www/multimedia/2025/06/14/fotolead-1200-840.jpg,,,,,,
Los ocho audios de Koldo que acorralan a Cerdán y las adjudicaciones bajo sospecha,The eight audio recordings from Koldo that corner Cerdán and put contracts under suspicion,POLÍTICA,"investigación periodística, política","journalistic investigation, politics","Última hora,Narrativas","Breaking News, Narratives",12 jun 2025,https://www.elcorreo.com/politica/ocho-audios-koldo-acorralan-santos-cerdan-adjudicaciones-20250612134600-ntrc.html,https://s1.ppllstatics.com/rc/www/multimedia/2025/06/12/fotolead_cerdanok840.png,,,,,,
Los secretos del narcotúnel que une España con Marruecos,The secrets of the drug tunnel connecting Spain and Morocco,SUCESOS,investigación,investigation,Narrativas,Narratives,26 may 2025,https://www.elcorreo.com/politica/secretos-narcotunel-une-espana-marruecos-20250525000431-ntrc.html,https://s3.ppllstatics.com/rc/www/multimedia/2025/05/25/fotolead-tunel-1200x840-U23018644477533cD-1200x840@RC.jpg,,,,,,
Radiografía de la música en directo: los datos que explican por qué las entradas son más caras que nunca,Live music under the microscope: the data behind record-high ticket prices,CULTURA,"música,arte,datos","music, art, data","Grandes narrativas,Narrativas","Great narratives, Narratives",12 may 2025,https://www.elcorreo.com/culturas/musica/radiografia-musica-directo-datos-explican-entradas-caras-20250512000355-ntrc.html,https://s2.ppllstatics.com/rc/www/multimedia/2025/05/12/fotolead-952.jpg,,,,,,
Explicación visual | Cómo funciona el sistema eléctrico que colapsó con el apagón,Visual explainer | How the electric system failed and led to the blackout,ECONOMÍA,"energía,luz,datos","energy, light, data","Última hora,Narrativas","Breaking News, Narratives",4 may 2025,https://www.elcorreo.com/economia/explicacion-visual-apagon-expuso-costuras-sistema-energetico-20250504000408-ntrc.html,https://s1.ppllstatics.com/rc/www/multimedia/2025/05/04/tuberias-840.jpg,,,,,,
Francisco creó al 80% de los cardenales que elegirán a su sucesor,Francis appointed 80% of the cardinals who will elect his successor,SOCIEDAD,"religión,papa,iglesia,datos","religion, pope, church, data",Narrativas,Narratives,23 abr 2025,https://www.elcorreo.com/sociedad/francisco-creo-cardenales-elegiran-sucesor-20250423003004-ntrc.html,https://s2.ppllstatics.com/rc/www/multimedia/2025/04/23/fotolead_papa_840ok-kEJH--366x256@RC.jpg,,,,,,
La guerra fría del té helado: qué ha pasado con Nestea y Fuze Tea,The iced tea cold war: what happened between Nestea and Fuze Tea,ECONOMÍA,"marcas,consumo,negocio","brands, consumption, business",Narrativas,Narratives,15 abr 2025,https://www.elcorreo.com/sociedad/guerra-fria-helado-pasado-nestea-fuze-tea-20250415065258-ntrc.html,https://s3.ppllstatics.com/rc/www/multimedia/2025/04/15/fotolead-1--366x256.jpg,,,,,,
